Coulbourn Designation,Arduino Pin,Controller Address
A-HouseLight,D26,8
A-Tone,D27,9
A-Feeder2Mag,D28,10
A-Feeder2Fdr,D29,11
A-Feeder1Mag,D47,29
A-Feeder1Fdr,D46,28
A-Cue2G,D48,30
A-Cue2Y,D49,31
A-Cue2R,D22,4
A-Cue1G,D23,5
A-Cue1Y,D24,6
A-Cue1R,D25,7
A-Spare4,D42,24
A-Spare3,D43,25
A-Spare2,D44,26
A-Spare1,D45,27
A-Switch4,D9,3
A-Switch3,D8,2
A-Switch2,D7,1
A-Switch1,D6,0
B-HouseLight,D34,16
B-Tone,D35,17
B-Feeder2Mag,D36,18
B-Feeder2Fdr,D37,19
B-Feeder1Mag,D39,21
B-Feeder1Fdr,D38,20
B-Cue2G,D40,22
B-Cue2Y,D41,23
B-Cue2R,D30,12
B-Cue1G,D31,13
B-Cue1Y,D32,14
B-Cue1R,D33,15
B-Spare4,D13,3
B-Spare3,D12,2
B-Spare2,D11,1
B-Spare1,D10,0
B-Switch4,D2,7
B-Switch3,D3,6
B-Switch2,D4,5
B-Switch1,D5,4
