Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,62.23,-112.395,90,top
C2,150nF,C_0402_1005Metric,61.2775,-112.395,90,top
J3,40_Pin_Ribbon_Connector,40 Pin Ribbon Connector,18.20125,-28.8925,0,top
J4,40_Pin_Ribbon_Connector,40 Pin Ribbon Connector,23.28125,-28.9,0,top
J5,Barrel_Jack,BarrelJack_Horizontal,165.735,-29.21,0,top
R1,383Ω,R_0402_1005Metric,67.84875,-52.07,0,top
R2,6.7kΩ,R_0402_1005Metric,38.19625,-68.7825,0,top
R3,6.7kΩ,R_0402_1005Metric,38.15125,-49.0875,0,top
R4,6.7kΩ,R_0402_1005Metric,38.19625,-86.0425,0,top
R5,6.7kΩ,R_0402_1005Metric,38.19625,-35.1175,0,top
R6,6.7kΩ,R_0402_1005Metric,40.22625,-70.0525,90,top
R7,6.7kΩ,R_0402_1005Metric,40.22625,-47.1825,90,top
R8,6.7kΩ,R_0402_1005Metric,40.16125,-86.6775,90,top
R9,6.7kΩ,R_0402_1005Metric,40.22625,-31.96,90,top
R10,6.7kΩ,R_0402_1005Metric,40.22625,-45.2775,90,top
R11,383Ω,R_0402_1005Metric,67.84875,-50.8,0,top
R12,383Ω,R_0402_1005Metric,67.84875,-68.58,0,top
R13,383Ω,R_0402_1005Metric,67.84875,-53.34,0,top
R14,383Ω,R_0402_1005Metric,139.7,-38.1,-90,top
R15,383Ω,R_0402_1005Metric,67.84875,-43.18,0,top
R16,6.7kΩ,R_0402_1005Metric,38.26125,-74.4975,0,top
R17,6.7kΩ,R_0402_1005Metric,38.15125,-50.3575,0,top
R18,6.7kΩ,R_0402_1005Metric,38.19625,-87.3125,0,top
R19,6.7kΩ,R_0402_1005Metric,38.19625,-36.3875,0,top
R20,6.7kΩ,R_0402_1005Metric,38.15125,-47.8175,0,top
R21,6.7kΩ,R_0402_1005Metric,40.22625,-43.3725,90,top
R22,6.7kΩ,R_0402_1005Metric,40.29125,-71.9575,90,top
R23,6.7kΩ,R_0402_1005Metric,40.22625,-49.0875,90,top
R24,6.7kΩ,R_0402_1005Metric,40.16125,-88.5825,90,top
R25,6.7kΩ,R_0402_1005Metric,40.22625,-33.865,90,top
R26,383Ω,R_0402_1005Metric,67.84875,-69.85,0,top
R27,383Ω,R_0402_1005Metric,67.84875,-54.61,0,top
R28,383Ω,R_0402_1005Metric,137.16,-38.1,-90,top
R29,383Ω,R_0402_1005Metric,67.84875,-44.45,0,top
R30,6.7kΩ,R_0402_1005Metric,38.26125,-75.7675,0,top
R31,6.7kΩ,R_0402_1005Metric,38.19625,-42.7375,0,top
R32,6.7kΩ,R_0402_1005Metric,38.19625,-51.6275,0,top
R33,6.7kΩ,R_0402_1005Metric,38.19625,-92.3775,0,top
R34,6.7kΩ,R_0402_1005Metric,38.19625,-37.6575,0,top
R35,6.7kΩ,R_0402_1005Metric,40.29125,-73.8625,90,top
R36,6.7kΩ,R_0402_1005Metric,40.22625,-50.9925,90,top
R37,6.7kΩ,R_0402_1005Metric,40.16125,-91.1075,90,top
R38,6.7kΩ,R_0402_1005Metric,40.22625,-35.7525,90,top
R39,383Ω,R_0402_1005Metric,67.84875,-71.12,0,top
R40,383Ω,R_0402_1005Metric,67.84875,-55.88,0,top
R41,383Ω,R_0402_1005Metric,134.62,-38.1,-90,top
R42,383Ω,R_0402_1005Metric,67.84875,-45.72,0,top
R43,6.7kΩ,R_0402_1005Metric,38.26125,-77.0375,0,top
R44,6.7kΩ,R_0402_1005Metric,38.19625,-52.8975,0,top
R45,6.7kΩ,R_0402_1005Metric,38.19625,-93.6475,0,top
R46,6.7kΩ,R_0402_1005Metric,38.19625,-38.9275,0,top
R47,6.7kΩ,R_0402_1005Metric,40.29125,-75.7675,90,top
R48,6.7kΩ,R_0402_1005Metric,40.22625,-52.8975,90,top
R49,6.7kΩ,R_0402_1005Metric,40.16125,-93.0125,90,top
R50,6.7kΩ,R_0402_1005Metric,40.22625,-37.6575,90,top
R51,383Ω,R_0402_1005Metric,67.84875,-72.39,0,top
R52,383Ω,R_0402_1005Metric,67.84875,-57.15,0,top
R53,383Ω,R_0402_1005Metric,132.08,-38.1,-90,top
R54,383Ω,R_0402_1005Metric,67.84875,-46.99,0,top
R55,6.7kΩ,R_0402_1005Metric,38.26125,-78.3075,0,top
R56,6.7kΩ,R_0402_1005Metric,38.19625,-54.1675,0,top
R57,6.7kΩ,R_0402_1005Metric,38.19625,-63.7025,0,top
