Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,383Ω,R_0402_1005Metric,33.02,-33.02,180,top
R2,383Ω,R_0402_1005Metric,50.8,-33.02,180,top
R3,383Ω,R_0402_1005Metric,33.02,-40.64,180,top
R4,383Ω,R_0402_1005Metric,50.8,-40.64,180,top
R5,383Ω,R_0402_1005Metric,68.455,-40.64,180,top
R6,383Ω,R_0402_1005Metric,86.36,-40.64,180,top
R7,383Ω,R_0402_1005Metric,33.02,-48.26,180,top
R8,383Ω,R_0402_1005Metric,50.8,-48.26,180,top
R9,383Ω,R_0402_1005Metric,68.58,-48.26,180,top
R10,383Ω,R_0402_1005Metric,86.36,-48.26,180,top
R11,383Ω,R_0402_1005Metric,33.02,-55.88,180,top
R12,383Ω,R_0402_1005Metric,50.8,-55.88,180,top
R13,383Ω,R_0402_1005Metric,68.58,-55.88,180,top
R14,383Ω,R_0402_1005Metric,86.36,-55.88,180,top
R15,383Ω,R_0402_1005Metric,33.02,-63.5,180,top
R16,383Ω,R_0402_1005Metric,50.8,-63.5,180,top
R17,383Ω,R_0402_1005Metric,68.58,-63.5,180,top
R18,383Ω,R_0402_1005Metric,86.36,-63.5,180,top
R19,2670Ω,R_0402_1005Metric,48.26,-71.12,180,top
R20,2670Ω,R_0402_1005Metric,66.04,-71.12,180,top
R21,2670Ω,R_0402_1005Metric,83.82,-71.12,180,top
R22,2670Ω,R_0402_1005Metric,101.6,-71.12,180,top
R23,383Ω,R_0402_1005Metric,31.929784,-120.015,180,top
R24,383Ω,R_0402_1005Metric,49.709784,-120.015,180,top
R25,383Ω,R_0402_1005Metric,31.929784,-127.635,180,top
R26,383Ω,R_0402_1005Metric,49.709784,-127.635,180,top
R27,383Ω,R_0402_1005Metric,67.484784,-127.635,180,top
R28,383Ω,R_0402_1005Metric,85.264784,-127.635,180,top
R29,383Ω,R_0402_1005Metric,31.929784,-135.255,180,top
R30,383Ω,R_0402_1005Metric,49.709784,-135.255,180,top
R31,383Ω,R_0402_1005Metric,67.489784,-135.255,180,top
R32,383Ω,R_0402_1005Metric,85.269784,-135.255,180,top
R33,383Ω,R_0402_1005Metric,31.929784,-142.875,180,top
R34,383Ω,R_0402_1005Metric,49.709784,-142.875,180,top
R35,383Ω,R_0402_1005Metric,67.489784,-142.875,180,top
R36,383Ω,R_0402_1005Metric,85.269784,-142.875,180,top
R37,383Ω,R_0402_1005Metric,31.929784,-150.495,180,top
R38,383Ω,R_0402_1005Metric,49.709784,-150.495,180,top
R39,383Ω,R_0402_1005Metric,67.489784,-150.495,180,top
R40,383Ω,R_0402_1005Metric,85.269784,-150.495,180,top
R41,2670Ω,R_0402_1005Metric,46.974784,-158.115,180,top
R42,2670Ω,R_0402_1005Metric,64.629784,-158.115,180,top
R43,2670Ω,R_0402_1005Metric,82.534784,-158.115,180,top
R44,2670Ω,R_0402_1005Metric,100.189784,-158.115,180,top
R45,10kΩ,R_0402_1005Metric,35.435,-76.2,180,top
R46,10kΩ,R_0402_1005Metric,53.215,-76.2,180,top
R47,10kΩ,R_0402_1005Metric,70.995,-76.2,180,top
R48,10kΩ,R_0402_1005Metric,88.775,-76.2,180,top
R49,10kΩ,R_0402_1005Metric,34.659784,-163.195,180,top
R50,10kΩ,R_0402_1005Metric,52.564784,-163.195,180,top
R51,10kΩ,R_0402_1005Metric,70.219784,-163.195,180,top
R52,10kΩ,R_0402_1005Metric,87.999784,-163.195,180,top
R53,10kΩ,R_0402_1005Metric,48.385,-88.9,180,top
R54,10kΩ,R_0402_1005Metric,45.21,-88.9,180,top
R55,4.7kΩ,R_0402_1005Metric,62.23,-91.44,-90,top
R56,4.7kΩ,R_0402_1005Metric,64.77,-91.44,-90,top
U1,LincADiode,SMDIP-4_W9.53mm,40.64,-33.02,0,top
U2,LincBDiode,SMDIP-4_W9.53mm,58.42,-33.02,0,top
U3,Feeder2Fdr,SMDIP-4_W9.53mm,40.64,-40.64,0,top
U4,Feeder2Mag,SMDIP-4_W9.53mm,58.42,-40.64,0,top
U5,HouseLight,SMDIP-4_W9.53mm,76.2,-40.64,0,top
U6,Tone,SMDIP-4_W9.53mm,93.98,-40.64,0,top
U7,Cue2Y,SMDIP-4_W9.53mm,40.64,-48.26,0,top
U8,Cue2G,SMDIP-4_W9.53mm,58.42,-48.26,0,top
U9,Feeder1Mag,SMDIP-4_W9.53mm,76.2,-48.26,0,top
U10,Feeder1Fdr,SMDIP-4_W9.53mm,93.98,-48.26,0,top
U11,Cue1R,SMDIP-4_W9.53mm,40.64,-55.88,0,top
U12,Cue1Y,SMDIP-4_W9.53mm,58.42,-55.88,0,top
U13,Cue1G,SMDIP-4_W9.53mm,76.2,-55.88,0,top
U14,Cue2R,SMDIP-4_W9.53mm,93.98,-55.88,0,top
U15,Spare1,SMDIP-4_W9.53mm,40.64,-63.5,0,top
U16,Spare2,SMDIP-4_W9.53mm,58.42,-63.5,0,top
U17,Spare3,SMDIP-4_W9.53mm,76.2,-63.5,0,top
U18,Spare4,SMDIP-4_W9.53mm,93.98,-63.5,0,top
U19,Switch1,SMDIP-4_W9.53mm,40.64,-71.12,180,top
U20,Switch2,SMDIP-4_W9.53mm,58.42,-71.12,180,top
U21,Switch3,SMDIP-4_W9.53mm,76.2,-71.12,180,top
U22,Switch4,SMDIP-4_W9.53mm,93.98,-71.12,180,top
U23,LincADiode,SMDIP-4_W9.53mm,39.549784,-120.015,0,top
U24,LincBDiode,SMDIP-4_W9.53mm,57.329784,-120.015,0,top
U25,Feeder2Fdr,SMDIP-4_W9.53mm,39.549784,-127.635,0,top
U26,Feeder2Mag,SMDIP-4_W9.53mm,57.329784,-127.635,0,top
U27,HouseLight,SMDIP-4_W9.53mm,75.104784,-127.635,0,top
U28,Tone,SMDIP-4_W9.53mm,92.884784,-127.635,0,top
U29,Cue2Y,SMDIP-4_W9.53mm,39.549784,-135.255,0,top
U30,Cue2G,SMDIP-4_W9.53mm,57.329784,-135.255,0,top
U31,Feeder1Mag,SMDIP-4_W9.53mm,75.109784,-135.255,0,top
U32,Feeder1Fdr,SMDIP-4_W9.53mm,92.889784,-135.255,0,top
U33,Cue1R,SMDIP-4_W9.53mm,39.549784,-142.875,0,top
U34,Cue1Y,SMDIP-4_W9.53mm,57.329784,-142.875,0,top
U35,Cue1G,SMDIP-4_W9.53mm,75.109784,-142.875,0,top
U36,Cue2R,SMDIP-4_W9.53mm,92.889784,-142.875,0,top
U37,Spare1,SMDIP-4_W9.53mm,39.549784,-150.495,0,top
U38,Spare2,SMDIP-4_W9.53mm,57.329784,-150.495,0,top
U39,Spare3,SMDIP-4_W9.53mm,75.109784,-150.495,0,top
U40,Spare4,SMDIP-4_W9.53mm,92.889784,-150.495,0,top
U41,Switch1,SMDIP-4_W9.53mm,39.549784,-158.115,180,top
U42,Switch2,SMDIP-4_W9.53mm,57.329784,-158.115,180,top
U43,Switch3,SMDIP-4_W9.53mm,75.109784,-158.115,180,top
U44,Switch4,SMDIP-4_W9.53mm,92.889784,-158.115,180,top
U45,DAC7574,MSOP-10_3x3mm_P0.5mm,55.83,-92.82,0,top
